file,event,length,width,tracesum,tracemax,tracedev,padnum
273_800p.h5,134,13.697658574703883,0.7897420287466548,152475.68359374997,18789.701725399358,3587.314585886971,32
273_800p.h5,135,13.659988011093096,4.1968959464579205,150345.5625,15345.411757113601,3310.2253999986397,20
273_800p.h5,136,13.487759166068509,7.326315788069901,150935.078125,13304.469078710335,3006.8389777454463,35
273_800p.h5,137,13.463473078946802,5.304818407889671,145908.921875,13844.8436787359,2951.1467468946735,23
273_800p.h5,138,13.570430349802512,5.451708873042102,146676.47265625,12766.753344080673,2885.029482437174,22
273_800p.h5,139,13.651958158508657,5.795727669859798,154050.60546874997,22862.008622423273,4113.271982063474,36
273_800p.h5,140,13.449473196217925,6.617630044319999,151537.47265625,19239.71522312853,3646.291890207701,39
273_800p.h5,141,13.660796872480573,6.682368621774551,144573.66796875,21513.068171971172,3768.1020031883895,40
273_800p.h5,142,13.676936592160757,5.928474454808308,143495.18359374997,18771.785763753996,3551.2568368975976,32
273_800p.h5,143,13.699763202007453,1.41204871283569,145740.75781250003,13634.81922694658,2966.1393343655072,23
273_800p.h5,144,13.586704251578384,6.500301762205075,148481.58984374997,20654.207890050962,3721.6790253690474,39
273_800p.h5,145,12.276893237797347,3.482614242518346,144228.02929687503,23328.729900725804,3999.6999350374276,19
273_800p.h5,146,13.638392552884811,0.7424089758901499,145107.765625,19500.516749985025,3653.379196034356,34
273_800p.h5,147,13.606679501907049,4.091484799048132,145566.33007812497,17139.110027725594,3333.066471695025,20
273_800p.h5,148,13.562709267746989,4.199707143787834,148184.87792968753,19202.014276940412,3583.561234053099,22
273_800p.h5,149,13.715771318385883,7.355003588875892,145830.73828125,19850.03814946974,3564.4251918310183,43
273_800p.h5,150,13.432467859915803,1.380466588796633,156518.67578124997,14724.69405312198,3199.02908203067,30
273_800p.h5,151,13.454432832071003,7.719277063397701,147413.0859375,21197.39734255294,3821.545549161043,46
273_800p.h5,152,13.717577927753211,5.124015905518662,152303.142578125,12420.15281284959,2906.710500458524,19
273_800p.h5,153,13.617814319730881,4.921578605633652,148149.96484374997,12473.930529186404,2861.9548240474683,17
273_800p.h5,154,13.722100881165344,6.8772135789048345,147969.37109375,20096.592728524865,3791.02843269075,42
273_800p.h5,155,13.815505450787462,5.546826753212657,145007.01171875,22678.601174009946,3899.847294969351,35
273_800p.h5,156,13.492577442017186,6.388774042178876,146549.7734375,19365.05042470049,3525.4195331448605,36
273_800p.h5,157,13.502224075045612,6.985849461887539,149019.82421875,15527.862361007481,3274.859515724933,36
273_800p.h5,158,13.576778200283103,5.004319052548777,152766.90234374997,23190.320883753688,4106.775525707631,29
273_800p.h5,159,13.618812146968592,1.410017576653517,154059.79687500003,13415.558157356087,3057.012617808054,29
273_800p.h5,160,13.457235798887908,0.5240028417411938,148327.17968749997,20039.708140285547,3686.710540494115,16
273_800p.h5,161,13.58809335527437,4.951289589466302,149070.296875,13446.273950707837,3079.821262909609,21
273_800p.h5,162,13.66228354272176,6.085307882379654,141181.75390625003,20918.679657451292,3735.905628107304,38
273_800p.h5,163,13.661450813017856,6.455706197320495,149402.21484374997,15969.132296953685,3280.7911089216063,33
273_800p.h5,164,13.572401085309904,5.198036437316898,147323.40429687494,16011.00834662437,3298.5545671258333,26
273_800p.h5,165,13.813690031754014,6.045581863686562,151412.6953125,17242.60925173879,3459.9848569341793,35
273_800p.h5,166,13.674172139351871,6.528503520497418,147392.28125,16008.029985418589,3288.4099222069635,35
273_800p.h5,167,13.782151876709047,1.7477359140071187,146292.5751953125,16780.545633200614,3350.0995047182896,27
273_800p.h5,168,13.6259169300804,1.3539762717516863,141312.390625,14081.490713107018,3072.5775400011544,22
